id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
44,0.3776,0.1761,0.2797,0.1242,0.0828,0.0577,0.0436,0.0436,0.1651,0.1249
45,0.3514,0.0909,0.2432,0.1531,0.0745,0.0308,0.0112,0.0112,0.1753,0.1573
46,0.3537,0.1618,0.2637,0.1235,0.0764,0.0508,0.0349,0.0349,0.1592,0.1867
47,0.2261,0.1062,0.1391,0.1071,0.0508,0.0147,0.0079,0.0079,0.1998,0.0758
48,0.5,0.16,0.3289,0.3553,0.1821,0.0964,0.0333,0.0333,0.2942,0.145
49,0.4511,0.2232,0.3404,0.2496,0.165,0.1125,0.0761,0.0761,0.2346,0.2834
50,0.5138,0.2315,0.3303,0.3289,0.1995,0.1287,0.0839,0.0839,0.2785,0.3789
51,0.3967,0.1345,0.2479,0.2466,0.117,0.0268,0.0129,0.0129,0.2576,0.27
52,0.4286,0.1807,0.3095,0.3523,0.2012,0.1122,0.0638,0.0638,0.3275,0.3414
53,0.4607,0.1693,0.2827,0.1907,0.0923,0.0401,0.0149,0.0149,0.1867,0.1884
54,0.5202,0.1988,0.3468,0.4008,0.2424,0.1675,0.1215,0.1215,0.315,0.2702
55,0.2667,0.0602,0.1778,0.2182,0.0201,0.0091,0.0062,0.0062,0.1702,0.0053
56,0.335,0.1194,0.2167,0.2009,0.1121,0.0736,0.0503,0.0503,0.155,0.1608
57,0.4181,0.16,0.2938,0.2657,0.1605,0.0945,0.0311,0.0311,0.1859,0.2602
58,0.3165,0.0769,0.2278,0.2229,0.0167,0.0071,0.0046,0.0046,0.1609,0.0858
59,0.3492,0.1283,0.2328,0.3333,0.2085,0.1421,0.0989,0.0989,0.2024,0.0904
60,0.4201,0.0829,0.2648,0.2166,0.0961,0.0179,0.0077,0.0077,0.1882,0.2019
61,0.3191,0.1433,0.2222,0.0684,0.0415,0.0311,0.0241,0.0241,0.14,0.1547
62,0.4113,0.1382,0.2581,0.2201,0.1246,0.0555,0.0175,0.0175,0.2061,0.1959
63,0.3855,0.1341,0.2651,0.241,0.1328,0.0868,0.0636,0.0636,0.1629,0.1386
64,0.3385,0.1719,0.2769,0.1707,0.1215,0.0904,0.0657,0.0657,0.2986,0.1412
65,0.0787,0.0317,0.0709,0.0326,0.0175,0.0114,0.0052,0.0052,0.0315,-0.4603
66,0.3147,0.0821,0.203,0.2364,0.0823,0.0187,0.009,0.009,0.1763,0.0416
67,0.2308,0.0784,0.1731,0.1429,0.0455,0.0145,0.0082,0.0082,0.203,0.1042
68,0.3804,0.1242,0.2822,0.253,0.1111,0.0248,0.0117,0.0117,0.2249,0.2487
69,0.5795,0.2644,0.4318,0.3947,0.2356,0.154,0.1129,0.1129,0.3111,0.4219
70,0.4868,0.246,0.3492,0.375,0.2274,0.1688,0.1297,0.1297,0.2728,0.3277
71,0.34,0.0909,0.23,0.2617,0.1112,0.0619,0.0219,0.0219,0.1847,0.0895
72,0.4974,0.1818,0.3175,0.2994,0.174,0.1157,0.0753,0.0753,0.2428,0.2678
73,0.3843,0.2007,0.2776,0.1401,0.1021,0.0754,0.0568,0.0568,0.1729,0.2075
74,0.5647,0.25,0.3529,0.4494,0.2674,0.1702,0.1035,0.1035,0.4001,0.3804
75,0.4599,0.2378,0.3422,0.3724,0.2317,0.1615,0.0989,0.0989,0.3082,0.2323
76,0.4286,0.216,0.3333,0.2206,0.1605,0.1228,0.0991,0.0991,0.2701,0.2125
77,0.3421,0.1467,0.2895,0.2308,0.1341,0.0619,0.0237,0.0237,0.1811,0.1752
78,0.4127,0.1613,0.2857,0.2568,0.1186,0.0269,0.0129,0.0129,0.2588,0.2111
79,0.4896,0.2632,0.375,0.207,0.1459,0.1101,0.073,0.073,0.2902,0.108
80,0.253,0.0732,0.1687,0.1429,0.0415,0.0128,0.0071,0.0071,0.1206,0.0842
81,0.44,0.1515,0.27,0.3178,0.1574,0.0787,0.0264,0.0264,0.2775,0.1353
82,0.3756,0.1333,0.2843,0.2505,0.1381,0.0789,0.0454,0.0454,0.2026,0.0663
83,0.4,0.1595,0.2909,0.3125,0.1887,0.111,0.0772,0.0772,0.2017,0.2504
84,0.5031,0.1988,0.3313,0.4487,0.2644,0.1767,0.0926,0.0926,0.3843,0.3748
85,0.4161,0.2313,0.3624,0.2877,0.1788,0.1105,0.0663,0.0663,0.227,0.3585
86,0.5565,0.2895,0.4261,0.3015,0.212,0.1588,0.1221,0.1221,0.3184,0.3347
87,0.3675,0.1034,0.188,0.18,0.0673,0.0142,0.0066,0.0066,0.1559,0.1712
88,0.1452,0.0,0.0806,0.0952,0.0107,0.0052,0.0036,0.0036,0.1319,-0.1107
89,0.2903,0.0984,0.2097,0.1412,0.041,0.0127,0.007,0.007,0.2251,0.1292
90,0.4274,0.1034,0.2222,0.2937,0.1116,0.0447,0.0159,0.0159,0.2169,0.1127
91,0.337,0.1697,0.2637,0.1306,0.0869,0.0574,0.0299,0.0299,0.1509,0.2494
92,0.3235,0.1045,0.1471,0.1684,0.0847,0.0426,0.017,0.017,0.2849,0.1426
93,0.4804,0.198,0.3333,0.3058,0.1848,0.1277,0.0925,0.0925,0.2609,0.1803
94,0.4211,0.1867,0.2895,0.3291,0.1837,0.076,0.0276,0.0276,0.285,0.2394
95,0.4348,0.1429,0.25,0.2584,0.1376,0.0272,0.0121,0.0121,0.19,0.2258
96,0.5225,0.1727,0.3243,0.3262,0.17,0.089,0.0584,0.0584,0.2566,0.3671
97,0.4444,0.1893,0.2807,0.3118,0.1841,0.0907,0.0536,0.0536,0.2777,0.3145
98,0.3871,0.1023,0.2581,0.1723,0.0697,0.0303,0.0113,0.0113,0.152,0.2151
99,0.2069,0.0559,0.1517,0.1494,0.0722,0.0394,0.0164,0.0164,0.1445,-0.0628
100,0.4149,0.129,0.2979,0.2739,0.1401,0.0812,0.056,0.056,0.2244,0.2003
101,0.4615,0.1667,0.2747,0.2869,0.1361,0.0587,0.0217,0.0217,0.2907,0.2456
102,0.3464,0.1243,0.2123,0.2581,0.1297,0.0718,0.0253,0.0253,0.2054,0.1345
103,0.441,0.1244,0.2872,0.3403,0.1736,0.0966,0.0653,0.0653,0.2456,0.1856
104,0.3045,0.083,0.2058,0.1161,0.0595,0.0315,0.0109,0.0109,0.1144,-0.0237
105,0.4545,0.2632,0.3377,0.3256,0.2397,0.1601,0.1186,0.1186,0.3233,0.1956
106,0.3094,0.0989,0.2038,0.1334,0.0671,0.0425,0.024,0.024,0.123,0.0318
107,0.3871,0.1307,0.3355,0.3243,0.149,0.0314,0.0144,0.0144,0.2066,0.2092
108,0.3657,0.1156,0.2857,0.2296,0.1033,0.0501,0.0197,0.0197,0.1704,0.2126
109,0.4862,0.2123,0.3978,0.3913,0.2454,0.1673,0.1121,0.1121,0.3204,0.2393
110,0.2087,0.0885,0.1565,0.0779,0.0101,0.0052,0.0037,0.0037,0.1233,0.0207
111,0.3316,0.1297,0.2353,0.2499,0.1657,0.1223,0.0887,0.0887,0.1908,0.1549
112,0.5646,0.3188,0.4593,0.3753,0.273,0.2038,0.1456,0.1456,0.3559,0.3839
113,0.407,0.1412,0.2674,0.284,0.1459,0.0646,0.0242,0.0242,0.1481,0.2704
114,0.5049,0.2647,0.2913,0.4249,0.3089,0.2304,0.171,0.171,0.3336,0.2775
115,0.4106,0.2013,0.2517,0.2447,0.1622,0.1127,0.0829,0.0829,0.2265,0.214
116,0.2353,0.0684,0.1849,0.1282,0.0408,0.013,0.0074,0.0074,0.1733,0.1044
117,0.4295,0.1905,0.3087,0.3165,0.2113,0.1515,0.1082,0.1082,0.3068,0.2812
118,0.1026,0.0,0.0855,0.0465,0.0074,0.004,0.003,0.003,0.0865,-0.0419
119,0.0504,0.0,0.0504,0.0323,0.0073,0.0045,0.0035,0.0035,0.0195,-0.3113
120,0.3373,0.1098,0.2048,0.2442,0.1313,0.0851,0.0522,0.0522,0.181,0.151
121,0.3889,0.1124,0.2444,0.3253,0.1359,0.0277,0.0125,0.0125,0.2405,0.2183
122,0.381,0.139,0.2646,0.2823,0.1292,0.0693,0.0241,0.0241,0.2118,0.178
123,0.3512,0.1379,0.2146,0.2111,0.1116,0.0571,0.0194,0.0194,0.1572,0.1722
124,0.4538,0.2093,0.3462,0.2597,0.1635,0.0991,0.0476,0.0476,0.2487,0.2514
125,0.4649,0.2295,0.3243,0.3154,0.2042,0.1408,0.0986,0.0986,0.2776,0.2756
126,0.249,0.0729,0.1847,0.1273,0.0652,0.0345,0.0212,0.0212,0.1025,-0.0467
127,0.3949,0.1161,0.2166,0.2564,0.1154,0.026,0.0124,0.0124,0.2971,0.1854
128,0.4955,0.1909,0.3333,0.3067,0.1861,0.1352,0.0972,0.0972,0.2797,0.3514
129,0.4078,0.1976,0.2824,0.1635,0.0949,0.0631,0.0467,0.0467,0.1812,0.2713
130,0.3576,0.1208,0.2119,0.2875,0.1478,0.0824,0.0292,0.0292,0.2634,0.1949
131,0.2791,0.1102,0.2171,0.125,0.0725,0.0552,0.0436,0.0436,0.2558,0.1961
132,0.2295,0.0167,0.1148,0.1149,0.0366,0.0116,0.0066,0.0066,0.1724,0.1371
133,0.4815,0.2125,0.284,0.3647,0.2185,0.1048,0.0612,0.0612,0.3218,0.2853
134,0.4403,0.1353,0.2985,0.1933,0.0934,0.0562,0.0367,0.0367,0.1721,0.202
135,0.4941,0.1429,0.2941,0.3536,0.1478,0.0817,0.0513,0.0513,0.3124,0.285
136,0.3462,0.1558,0.2692,0.2524,0.101,0.0519,0.021,0.021,0.1536,0.2814
137,0.5169,0.1962,0.2996,0.2427,0.145,0.0799,0.0398,0.0398,0.2249,0.3191
138,0.3953,0.1176,0.2209,0.2717,0.1339,0.0736,0.0259,0.0259,0.2709,0.1583
139,0.155,0.0297,0.1033,0.033,0.0037,0.0018,0.0013,0.0013,0.0335,-0.1054
140,0.303,0.0368,0.1697,0.2326,0.0906,0.0214,0.0104,0.0104,0.1445,0.2087
141,0.4,0.0946,0.2267,0.2316,0.0993,0.022,0.0104,0.0104,0.2753,0.2142
142,0.3959,0.1231,0.2437,0.3351,0.176,0.1088,0.0798,0.0798,0.2198,0.1788
143,0.4444,0.1565,0.2906,0.25,0.1291,0.0877,0.0656,0.0656,0.372,0.2528
144,0.2114,0.0,0.1463,0.1346,0.013,0.006,0.0041,0.0041,0.0994,-0.3785
145,0.4225,0.1517,0.2535,0.2621,0.1544,0.1032,0.0643,0.0643,0.2141,0.1916
146,0.4889,0.1685,0.2778,0.3448,0.1675,0.0691,0.025,0.025,0.2279,0.2727
147,0.4181,0.1474,0.2857,0.1251,0.07,0.0421,0.0261,0.0261,0.1668,0.1444
148,0.4828,0.1958,0.3172,0.3176,0.1739,0.0714,0.0258,0.0258,0.3062,0.2955
149,0.43,0.1919,0.3,0.3146,0.1769,0.0981,0.0313,0.0313,0.1985,0.2817
150,0.4638,0.2146,0.3478,0.2426,0.1365,0.0954,0.0673,0.0673,0.2688,0.2601
151,0.5744,0.3731,0.5026,0.4894,0.4167,0.3614,0.323,0.323,0.4068,0.4254
152,0.4224,0.2138,0.3478,0.3216,0.2208,0.1514,0.1058,0.1058,0.3005,0.1736
153,0.4848,0.2454,0.3758,0.3478,0.2473,0.1955,0.161,0.161,0.449,0.3945
154,0.1841,0.1097,0.1674,0.061,0.0435,0.0294,0.0104,0.0104,0.0729,-0.0401
155,0.4478,0.1407,0.2687,0.2881,0.1297,0.0522,0.0187,0.0187,0.1688,0.2057
156,0.2869,0.1161,0.2141,0.023,0.0137,0.0097,0.0073,0.0073,0.118,0.073
157,0.4267,0.1883,0.2933,0.3239,0.2035,0.1389,0.1071,0.1071,0.2411,0.2705
158,0.1565,0.0354,0.1043,0.0909,0.0323,0.0107,0.0061,0.0061,0.1525,0.0607
159,0.2845,0.0844,0.1925,0.1333,0.06,0.034,0.0216,0.0216,0.1268,0.0171
160,0.4744,0.2468,0.2051,0.3111,0.1774,0.0894,0.0301,0.0301,0.3683,0.222
161,0.4032,0.122,0.2177,0.2074,0.1029,0.0624,0.0194,0.0194,0.2139,0.0699
162,0.3041,0.0947,0.2105,0.2184,0.0873,0.0448,0.0181,0.0181,0.1935,0.0469
163,0.4417,0.1118,0.3067,0.3333,0.1499,0.0634,0.0233,0.0233,0.3008,0.1964
164,0.2797,0.0993,0.2098,0.1163,0.0117,0.0055,0.0037,0.0037,0.1193,0.1221
165,0.3407,0.1203,0.237,0.2159,0.1114,0.0243,0.0114,0.0114,0.2956,0.1865
166,0.2035,0.0804,0.1858,0.0806,0.0485,0.0347,0.0266,0.0266,0.0841,-0.0631
167,0.4118,0.2203,0.3193,0.2286,0.1538,0.1205,0.0935,0.0935,0.1773,0.2642
168,0.327,0.0637,0.1635,0.2561,0.1125,0.0681,0.0447,0.0447,0.1864,0.0919
169,0.3438,0.1195,0.225,0.0933,0.0516,0.0287,0.0152,0.0152,0.1578,0.2008
170,0.3636,0.2271,0.2618,0.114,0.0812,0.0597,0.0441,0.0441,0.1648,0.1852
171,0.5548,0.2353,0.4516,0.4054,0.2472,0.172,0.1301,0.1301,0.3369,0.2141
172,0.4901,0.2953,0.4371,0.3523,0.2545,0.1893,0.1413,0.1413,0.454,0.4379
173,0.4735,0.2058,0.3592,0.2389,0.1568,0.1008,0.0635,0.0635,0.2672,0.3069
174,0.4082,0.2069,0.3537,0.2955,0.1843,0.1165,0.0781,0.0781,0.3877,0.3232
175,0.4426,0.157,0.2541,0.2826,0.1467,0.0884,0.0606,0.0606,0.2119,0.2102
176,0.4382,0.1591,0.2697,0.2979,0.1601,0.0823,0.028,0.028,0.2678,0.2761
177,0.5436,0.3109,0.4205,0.3835,0.2697,0.1942,0.1476,0.1476,0.3539,0.4125
178,0.2857,0.1452,0.2381,0.1628,0.0979,0.077,0.0637,0.0637,0.1786,0.1228
179,0.3153,0.0299,0.1675,0.2438,0.0472,0.0127,0.0066,0.0066,0.1464,0.0911
180,0.3662,0.1143,0.2394,0.225,0.1067,0.0244,0.0117,0.0117,0.2131,0.1941
181,0.3955,0.1714,0.3051,0.2553,0.136,0.0919,0.0536,0.0536,0.2526,0.1038
182,0.3776,0.1277,0.2378,0.2346,0.1211,0.0823,0.0517,0.0517,0.2985,0.1738
183,0.3662,0.1857,0.2958,0.2558,0.1819,0.1254,0.0919,0.0919,0.2413,0.2633
184,0.2645,0.0504,0.1818,0.1818,0.0692,0.0185,0.0096,0.0096,0.2339,0.14
185,0.5279,0.3077,0.4162,0.3261,0.2322,0.1775,0.1334,0.1334,0.3342,0.3557
186,0.4098,0.1379,0.2732,0.2731,0.1491,0.0971,0.0296,0.0296,0.2368,0.2599
187,0.4516,0.1805,0.2939,0.1878,0.1189,0.0773,0.0475,0.0475,0.2047,0.2736
188,0.3561,0.0916,0.1818,0.1384,0.0755,0.0415,0.0132,0.0132,0.16,0.1654
189,0.4523,0.1827,0.3216,0.3615,0.201,0.1275,0.0681,0.0681,0.3046,0.1712
190,0.3821,0.1639,0.3008,0.1961,0.122,0.0889,0.0596,0.0596,0.1886,0.1871
191,0.4972,0.1829,0.3729,0.3682,0.2291,0.1519,0.1043,0.1043,0.3299,0.3104
192,0.2754,0.1324,0.2174,0.1197,0.0792,0.0482,0.0179,0.0179,0.1527,-0.1345
193,0.4344,0.0731,0.2443,0.326,0.1063,0.0463,0.0172,0.0172,0.2106,0.0651
194,0.4773,0.1985,0.3258,0.2156,0.1379,0.093,0.0625,0.0625,0.2357,0.1956
195,0.35,0.1007,0.2214,0.1216,0.0525,0.0208,0.0074,0.0074,0.1396,0.1979
196,0.5308,0.2488,0.3886,0.3903,0.2455,0.1612,0.1101,0.1101,0.3059,0.2591
197,0.4444,0.2069,0.3162,0.2303,0.1484,0.1063,0.0779,0.0779,0.2068,0.2685
198,0.3333,0.1207,0.188,0.1941,0.0797,0.0502,0.0361,0.0361,0.1483,0.0992
199,0.51,0.2525,0.39,0.3873,0.2494,0.1785,0.1237,0.1237,0.3176,0.3737
200,0.3906,0.1181,0.2266,0.2,0.1019,0.0547,0.0305,0.0305,0.1634,0.1479
201,0.4706,0.2262,0.2471,0.2632,0.1376,0.0583,0.0214,0.0214,0.1931,0.2584
202,0.4466,0.1569,0.2718,0.3148,0.1653,0.0928,0.053,0.053,0.2746,0.203
203,0.4472,0.0881,0.2236,0.3333,0.1581,0.0316,0.0142,0.0142,0.268,0.191
204,0.3333,0.2391,0.3011,0.0384,0.03,0.0221,0.0161,0.0161,0.1603,0.217
205,0.4947,0.1809,0.2842,0.4073,0.2102,0.1133,0.0356,0.0356,0.2769,0.2576
206,0.371,0.1735,0.2986,0.1734,0.1199,0.0911,0.0701,0.0701,0.2007,0.2043
207,0.3511,0.155,0.229,0.2405,0.1469,0.0825,0.0293,0.0293,0.3148,0.1217
208,0.3099,0.0429,0.169,0.1622,0.0149,0.0068,0.0046,0.0046,0.1404,0.1343
209,0.5251,0.2712,0.4246,0.4194,0.2864,0.2272,0.19,0.19,0.3412,0.3419
210,0.2973,0.0822,0.2027,0.1954,0.0674,0.0175,0.0089,0.0089,0.1736,0.1195
211,0.5114,0.2644,0.375,0.3918,0.2568,0.1778,0.1291,0.1291,0.3301,0.2711
212,0.1569,0.0795,0.1176,0.1109,0.0745,0.0521,0.0207,0.0207,0.0806,-0.212
213,0.3863,0.1299,0.2403,0.2103,0.0889,0.0369,0.0134,0.0134,0.1519,0.1087
214,0.4545,0.1327,0.303,0.33,0.1528,0.0781,0.0265,0.0265,0.268,0.3265
215,0.5116,0.2066,0.3628,0.3659,0.1943,0.0995,0.0542,0.0542,0.3427,0.3194
216,0.4076,0.0861,0.2275,0.2768,0.1068,0.0212,0.0095,0.0095,0.1897,0.1521
217,0.5172,0.2522,0.3276,0.3783,0.2344,0.1619,0.1234,0.1234,0.3177,0.3712
218,0.319,0.0745,0.184,0.2386,0.1047,0.0503,0.0197,0.0197,0.233,0.1516
219,0.4558,0.2066,0.3163,0.2679,0.1595,0.0807,0.0437,0.0437,0.2543,0.2513
220,0.3425,0.1788,0.2652,0.2556,0.1777,0.1359,0.0965,0.0965,0.2313,0.2444
221,0.4319,0.2464,0.3192,0.3517,0.25,0.1806,0.1263,0.1263,0.3302,0.1991
222,0.469,0.1958,0.3172,0.3494,0.1958,0.1333,0.0877,0.0877,0.3957,0.2152
223,0.2857,0.0763,0.1955,0.1446,0.042,0.013,0.0072,0.0072,0.1489,0.0422
224,0.4216,0.1421,0.2703,0.3552,0.1997,0.1108,0.0629,0.0629,0.2213,0.1812
225,0.3617,0.086,0.234,0.2729,0.1057,0.0487,0.0187,0.0187,0.1815,0.1704
226,0.4066,0.159,0.2158,0.2243,0.1236,0.076,0.0475,0.0475,0.2285,0.2359
227,0.4688,0.2421,0.375,0.3393,0.219,0.1433,0.0883,0.0883,0.2878,0.4045
228,0.3784,0.1167,0.2317,0.2,0.0911,0.0352,0.0123,0.0123,0.1391,0.0796
229,0.4699,0.1951,0.2651,0.3333,0.1935,0.1286,0.0836,0.0836,0.2825,0.3174
230,0.4112,0.1226,0.271,0.2353,0.0837,0.0375,0.0142,0.0142,0.146,0.2455
231,0.4058,0.1854,0.2415,0.3069,0.1937,0.1126,0.0801,0.0801,0.2188,0.2183
232,0.4123,0.115,0.2281,0.2639,0.1251,0.0617,0.0205,0.0205,0.1861,0.2584
233,0.428,0.1255,0.2335,0.2306,0.0982,0.0489,0.0163,0.0163,0.1893,0.1992
234,0.2637,0.1111,0.1978,0.1909,0.0931,0.0584,0.039,0.039,0.1433,0.0679
235,0.4118,0.1386,0.2843,0.3033,0.171,0.1159,0.0805,0.0805,0.2726,0.2223
236,0.2751,0.0642,0.1905,0.184,0.079,0.0475,0.0311,0.0311,0.1366,-0.0145
237,0.3439,0.0903,0.2038,0.2179,0.0921,0.0224,0.011,0.011,0.1604,0.1776
238,0.4497,0.2635,0.3669,0.2277,0.1509,0.0772,0.0262,0.0262,0.3396,0.3596
239,0.3938,0.1323,0.2857,0.1608,0.0886,0.046,0.0252,0.0252,0.1816,0.2332
240,0.6545,0.4049,0.4848,0.5063,0.3864,0.3005,0.2445,0.2445,0.5318,0.4709
241,0.3041,0.071,0.1988,0.2289,0.0747,0.019,0.0096,0.0096,0.1621,0.0092
242,0.2959,0.1317,0.2367,0.156,0.0658,0.0159,0.0079,0.0079,0.1878,-0.0373
243,0.4885,0.1488,0.3594,0.3033,0.162,0.1078,0.0742,0.0742,0.28,0.2186
244,0.3682,0.1745,0.2744,0.1251,0.0786,0.0514,0.0304,0.0304,0.1409,0.3176
245,0.2564,0.1558,0.2564,0.1789,0.1179,0.0819,0.052,0.052,0.1442,-0.104
246,0.371,0.1279,0.2534,0.2469,0.1297,0.0918,0.0652,0.0652,0.2264,0.0376
247,0.3727,0.1509,0.2484,0.2366,0.1014,0.0224,0.0106,0.0106,0.2466,0.2681
248,0.1437,0.0727,0.1198,0.1058,0.0674,0.0463,0.0323,0.0323,0.0837,-0.3315
249,0.524,0.2467,0.3406,0.2639,0.1392,0.0923,0.0634,0.0634,0.2241,0.2868
250,0.4809,0.2099,0.306,0.3932,0.2217,0.1414,0.0757,0.0757,0.3328,0.3067
251,0.25,0.0476,0.1562,0.1463,0.0601,0.0165,0.0087,0.0087,0.136,0.0855
252,0.4162,0.152,0.2659,0.3152,0.1665,0.0675,0.0243,0.0243,0.2644,0.3505
253,0.3983,0.1111,0.2542,0.2399,0.1315,0.0831,0.0583,0.0583,0.1982,0.1026
254,0.4432,0.1609,0.3068,0.3295,0.1946,0.1301,0.0939,0.0939,0.2283,0.2475
255,0.4713,0.1628,0.3218,0.352,0.194,0.1219,0.0686,0.0686,0.2716,0.2816
256,0.3516,0.1575,0.2344,0.158,0.0986,0.0587,0.0361,0.0361,0.1988,0.1795
257,0.5291,0.1818,0.3598,0.4344,0.246,0.1663,0.1002,0.1002,0.4031,0.3697
258,0.4103,0.2087,0.3419,0.2133,0.1519,0.1303,0.1165,0.1165,0.328,0.3474
259,0.3594,0.126,0.2578,0.1127,0.0593,0.0291,0.0097,0.0097,0.1529,0.2583
260,0.5235,0.2585,0.4295,0.4125,0.289,0.2128,0.1656,0.1656,0.4708,0.4353
261,0.2273,0.0826,0.1455,0.0186,0.0094,0.0056,0.002,0.002,0.1022,-0.3743
262,0.2182,0.0185,0.1455,0.0984,0.0128,0.0065,0.0047,0.0047,0.093,0.0267
263,0.3432,0.0838,0.2249,0.25,0.1098,0.0528,0.0206,0.0206,0.1658,0.1243
264,0.3768,0.1176,0.1884,0.1839,0.0801,0.0196,0.0097,0.0097,0.2079,0.2012
265,0.3333,0.1346,0.2667,0.2091,0.1354,0.0933,0.0654,0.0654,0.2159,0.1591
266,0.5189,0.2295,0.2811,0.4382,0.2544,0.1439,0.0912,0.0912,0.3058,0.3762
267,0.5049,0.2549,0.3883,0.3299,0.2428,0.1548,0.097,0.097,0.2843,0.393
268,0.3636,0.0982,0.2061,0.2605,0.1094,0.0241,0.0113,0.0113,0.1871,0.079
269,0.3357,0.1408,0.2308,0.0975,0.0621,0.0404,0.0118,0.0118,0.1367,0.1834
270,0.6038,0.3905,0.4245,0.403,0.2895,0.2215,0.1727,0.1727,0.3393,0.4536
